patient,min,max,mean,variance,skewness,kurtosis,contrast_sum,correlation_sum,energy_sum,homogeneity_sum,sre,lre,glu,rlu,rpc,min_LBP,max_LBP,mean_LBP,variance_LBP,skewness_LBP,kurtosis_LBP,area
600,0,19,3.5,41.526315789473685,1.542482236781708,0.794932219154052,38637.8839652559,0.6571173293485414,0.4238410830288763,0.2943176802392186,3.956,4.174,95786.581,268.176,0.008,0,10300,344.8333333333333,3535281.3850574708,5.1994376106392055,25.034269601737883,77
600,0,16,2.95,26.05,1.4260479830824315,0.6112855508889097,405.36892957030244,3.442599097704929,0.4640998675284854,0.49978967293373944,3.909,4.367,11266.245,215.454,0.012,0,5401,181.23333333333332,971919.1505747127,5.19941752804059,25.034135281577182,65
600,0,6,0.5,2.1578947368421053,3.0662793472810757,8.365258774538967,404.73571428571427,1.1841948516866447,1.2836555057779053,0.3150207979672716,4.0,4.0,12.0,40.0,0.04,0,2,0.16666666666666666,0.2816091954022988,2.9988083663262493,7.389421074552274,13
600,0,26,2.4,44.357894736842105,2.824562112873901,6.713903234387873,222.38763036623817,2.222682971563954,0.5297427620503998,0.5739813978051663,3.884,4.464,43.796,171.843,0.066,0,62,3.2,127.8206896551724,4.919140732463151,23.104998878108503,53
600,0,12,1.9,14.199999999999998,1.6599974528024528,1.1773232347932554,821.4116666666667,1.9724918080407956,0.5635509609565837,0.31938878029111095,3.94,4.243,13084.806,143.162,0.008,0,3796,127.26666666666667,480131.0298850574,5.199426697502803,25.034196644968752,44
600,1,26,10.25,64.82894736842105,0.8061741186696364,-0.7593298529548247,9559.49549302146,2.7382760763786314,0.2285363624190766,0.2112290364947405,3.947,4.21,30545.55,778.661,0.02,0,3115,109.83333333333333,322222.14367816097,5.197685685810248,25.02251964784628,212
600,0,32,10.25,152.51315789473685,0.645509756469979,-1.2246495662367372,42273.21328994499,1.2228270005436106,0.2418907228497345,0.31561791242856907,3.94,4.24,35248.579,772.699,0.019,0,29898,1001.4,29786557.420689654,5.199439456476512,25.03428194504082,212
600,9,30,19.7,31.694736842105264,0.1387593174180584,-0.9020314200527437,14332.612619199499,2.4773820854137867,0.16091286834255003,0.15475332953823506,3.964,4.139,13374.466,1522.474,0.04,0,6673,233.4,1479551.627586207,5.197802349651946,25.0232783733786,401
600,0,10,1.3,10.642105263157895,2.1518706205507416,2.8674432870472266,613.0095238095239,0.6586132498145216,0.7505313422559536,0.38177835540466326,3.908,4.37,14184.267,95.413,0.007,0,4006,133.86666666666667,534844.1885057471,5.199442260946436,25.034300673758644,31
600,2,57,16.75,220.82894736842104,1.4129029814422625,1.47415188324055,19525.585969026593,2.4664331474583845,0.18469123689151992,0.28686897933762756,3.944,4.284,20491.122,1266.031,0.03,0,4283,151.8,609214.096551724,5.193924243082651,24.9968717291839,340
601,1,8,3.2,3.642105263157895,1.5251775412947213,1.7291255972468171,19721.767399267406,2.0872323273256077,0.44018777873021386,0.10568340951148347,4.0,4.0,17580.936,256.0,0.012,0,7362,246.56666666666666,1806048.5298850571,5.1994416035677204,25.034296354283818,70
601,0,19,5.35,26.871052631578948,1.225049374335368,0.999470126563955,15966.886563556462,1.9024492548507324,0.32886354430330084,0.3696152780712478,3.942,4.277,5053.988,403.286,0.024,0,842,31.1,23523.817241379307,5.1761755322216665,24.874110682872757,118
601,0,19,3.8,23.221052631578946,1.7994515160460391,3.002666427751235,30552.523970570124,1.677164908778054,0.4040844043375664,0.2484819491677411,3.98,4.08,11830.982,298.054,0.012,0,6362,213.8,1348423.2689655172,5.199373269786531,25.033838744531177,80
601,0,19,4.1,34.72631578947368,1.3003814189787806,0.41553132150510885,20623.95217376605,0.23238848687943056,0.39076369618546564,0.27523881835192565,3.94,4.3,6876.616,309.578,0.016,0,1398,48.333333333333336,65001.95402298851,5.19664703147213,25.015421088879563,90
602,0,13,2.15,16.76578947368421,1.8104044239110435,1.8790842224990358,650.7326099706744,2.9580342326120954,0.5633817706626965,0.3236042415204602,3.946,4.213,211391.791,163.144,0.004,0,5973,199.86666666666667,1188913.0850574714,5.199437314021809,25.03426764811075,50
602,0,38,13.2,211.9578947368421,0.6823428448908383,-1.3259758552451193,25138.15895243239,2.1286776741150812,0.22690434048871605,0.31389718330478705,3.944,4.259,54496.748,997.72,0.02,0,47697,1594.8666666666666,75817193.42988506,5.199461772635031,25.03443129720256,269
602,0,29,13.4,71.51578947368422,-0.02230712812619193,-0.5854816224709185,17908.126150008593,2.607528439274829,0.2169614147237705,0.2488690683626231,3.952,4.194,43235.177,1021.616,0.02,0,40940,1370.7666666666667,55852314.3229885,5.199457099060599,25.03440004545465,276
602,0,30,13.9,105.98947368421052,0.09155873430817711,-1.2559842795309246,19521.841933190128,2.520962685892054,0.20547728204582333,0.23712134304202018,3.933,4.265,74321.474,1041.167,0.016,0,33561,1125.8333333333333,37528323.8678161,5.19943791113454,25.034271637684597,283
602,0,29,9.5,96.57894736842105,0.757647674734881,-0.746463334051036,10716.31357899527,2.750773651027818,0.2690473725884598,0.2744952206936245,3.968,4.128,81325.087,736.193,0.012,0,40985,1369.3,55983516.69999999,5.19946468653041,25.034450782410463,195
602,0,28,3.45,50.365789473684224,2.4001096738313357,5.32259853357176,410.55169829945703,3.123968602117712,0.4461364835691908,0.34059664700993936,3.956,4.176,75156.824,264.116,0.008,0,21615,721.5,15572122.603448275,5.19946638002355,25.03446210446627,74
